Project_ID,Project_Title,Current_IH_Business_Area,Updated_Business_Area,Intake_Hub_URL
11522,Universal Bagger Register Carousel,Ops A&S Front End,Ops A&S Front End,https://hoops.wal-mart.com/intake-hub/projects/11522
11534,Deli: Sushi Station,Ops A&S Grocery Salesfloor,Ops A&S Grocery Salesfloor,https://hoops.wal-mart.com/intake-hub/projects/11534
11545,Warehouse Claims: Damages - Receiving in MyWalmart,Ops Business Community,Ops Business Community,https://hoops.wal-mart.com/intake-hub/projects/11545
11547,Overnight Dimming,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/11547
11548,Aqua ChemPacs Hand Soap,Ops A&S Backroom/Claims,Ops A&S Backroom/Claims,https://hoops.wal-mart.com/intake-hub/projects/11548
11551,Phone Number Capture on Staffed Lanes,Ops A&S Front End,Ops A&S Front End,https://hoops.wal-mart.com/intake-hub/projects/11551
11558,Plastic Bag Recycling,Supplies,Supplies,https://hoops.wal-mart.com/intake-hub/projects/11558
11562,Moving Store Return Restocking to Claims,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/11562
12572,Warehouse Steel Puller System,Ops A&S Grocery Salesfloor,Ops A&S Grocery Salesfloor,https://hoops.wal-mart.com/intake-hub/projects/12572
12574,Activity - Store Support - Practice Card,Marketing,Marketing,https://hoops.wal-mart.com/intake-hub/projects/12574
12577,Receipted Return - Auto Batteries,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12577
12578,One Finance - One Wall in Money Centers,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12578
12591,No Exception Pick Walks Test,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/12591
12615,Fashion MD cadence relative to seasonal transitions,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12615
12622,DSD Second Shift Merchandising,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12622
12641,In App Barcode,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12641
12642,Dairy Cooler Fixture Test,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/12642
12646,COSTL Staff Lane Registers,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12646
12648,COSTL SCO,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12648
12650,DSD: Digital Invoice,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/12650
12652,Connected Frontend - Automated Check-In & Check-Out,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12652
12656,Stretch Film,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12656
12663,mGPS,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/12663
12665,Temporary Labor in Stores,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/12665
12667,Spill Station Reform,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/12667
12669,Wearable Tech,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/12669
12673,Dept 12: FormulaPro Paint Upgrade,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12673
12679,Covergirl Vision Wall,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/12679
12680,Elf Vision Wall,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/12680
12692,RFID GM Expansion - Stationery,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/12692
12696,Modular Associate Quiet Space,Realty,Realty,https://hoops.wal-mart.com/intake-hub/projects/12696
12715,Firefly - RDC Case Tagging,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12715
12716,SMART Elimination,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/12716
12717,DSD - Delivery Notifications - Coca-Cola,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/12717
12718,DSD - Delivery Notifications - McLane,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/12718
13730,Paystub printer replacement,People,People,https://hoops.wal-mart.com/intake-hub/projects/13730
13731,Removing 3rd Party Books,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/13731
13732,Digitizing Lock Solutions - Phase 2,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/13732
13735,Firefly - Cut Fruit Tracking,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/13735
13740,"RFID ""Garage"" Test",Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/13740
13745,DSD: Delivery Notification - Feeding America,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/13745
13746,Deli MDs- Shrink Reduction,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/13746
13755,"FAST Unloader sort by New Mod, Feature and Backroom/Salesfloor ready cases",Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/13755
13758,Front End Innovation - RFID at POS,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/13758
13767,Beauty Operating Model,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/13767
13771,3rd Party Cut Fruit Test,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/13771
13780,GMD Catchment Expansion (65 minutes),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/13780
14787,Impulse at Check in for Scheduled Pickup Test,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/14787
14788,Store Map Blue Dot,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/14788
14790,Avidbots - Non-Auto C Stores,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/14790
14795,DSD: Accelerated Merchandising Coverage (Shiftsmart Test),Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/14795
14798,Battery Transport Cart,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/14798
14799,Vendor Claims in Claims App,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/14799
14802,Compactor Push Rod,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/14802
14803,Frito Lay Multipack Test,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/14803
14805,Online Pickup and Delivery Cart Design Improvement,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/14805
14806,Binning & Sorting - tech add to Restock to Claims #11562,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/14806
14808,GMD Tote Divider POC Test with Volumetrics,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/14808
15805,RDC Pallet Scanning:  Receiving in MyWalmart,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/15805
15806,Johnson Controls’ ShopperTrak Traffic Labor Optimization Pilot,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/15806
15807,Bakery Dynamic CVP,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/15807
15809,Sidekick Vizpick,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/15809
15810,Ammunition Pick Up Enablement,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/15810
15811,RFID Supply Chain,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/15811
15815,Cost Inventory \| Division 1 Test - Hawaii,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/15815
15816,MyWalmart Fresh Waste AI Agent Insights,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/15816
15819,2 Hour Picking SLA Test,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/15819
15820,Scan and go for nonmembers -Pilot store #4376,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/15820
15823,Topstock Cart Improvements,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/15823
15824,DSD: McKee Foods CAO Ordering,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/15824
16824,Expanding Oversized GMD,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/16824
16831,Navilens - Wayfinding Pilot,Marketing,Marketing,https://hoops.wal-mart.com/intake-hub/projects/16831
16832,Field Password Modernization,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16832
16833,Enterprise Safety - Safety Radar,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/16833
16835,High Ticket Receiving Simplification,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/16835
16837,ACC: Discontinuing Vacuum Service,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/16837
16841,Spark Shopper at COSTL Staff Lanes,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16841
16842,Walmart Milk Plant - Georgia,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/16842
16848,Comingling (Scheduled + Unscheduled Orders),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/16848
16849,We Care Customer Claims,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/16849
16852,Sidekick Pallet Stocking,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/16852
16856,Claims Receiving and Grading Returns in Bins,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/16856
16857,Backroom Aisle Location,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16857
16858,BagMo - Bag Holder Riser and Bag Rack Increase,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/16858
16861,WebEx Cloud PBX,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16861
16862,VizPick Annual Inventory - Pre-count,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/16862
16863,VizPick Annual Inventory - OH Adjustments,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/16863
16864,Bottom of the Basket Nudge,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16864
16867,Transactability: Beginning of Life (BOL),Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16867
16868,Minnesota License Agent Site/Hardware Conversion,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16868
16869,Ohio License Agent Site Conversion,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16869
16872,Return To Vendor Orders in the Tire Dashboard,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16872
16878,Gatik Autonomous Box Truck Pilot – Lancaster PDC to Store,Supply Chain,Supply Chain,https://hoops.wal-mart.com/intake-hub/projects/16878
16879,Behavioral Safety Training,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/16879
16880,My Team’s Time - Manager Experience on my.walmart.com (enterprise web container),People,People,https://hoops.wal-mart.com/intake-hub/projects/16880
16881,GTA: Physical Time Clock Replacement,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16881
16885,Constellation Scanner,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/16885
16886,Food Safety SPARK Checklist Enhancement,Compliance,Compliance,https://hoops.wal-mart.com/intake-hub/projects/16886
16887,Freshpet Islander,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/16887
16888,Paper Bags with Handles - West BU/Metro Store Only,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16888
16889,Acc Labor Test Plan,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/16889
16895,Enterprise Safety Hazard Hunt Pilot,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/16895
16897,DSD - Receiving in MyWalmart,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/16897
17897,Washington License Agent Hardware Conversion,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17897
17899,Strategic Stocking Fresh Cart,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17899
17900,Smart Deferred Auth for Walmart Stores,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17900
17902,Modularized AA $5 Value Movie Fixture,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17902
17904,Tire Increased Delivery Frequency and Receiving Simplification,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17904
17905,Lawn & Garden Aisle Location,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17905
17907,Fashion Beacon Safety Solution,Marketing,Marketing,https://hoops.wal-mart.com/intake-hub/projects/17907
17910,Omni Experiences & Signage,Marketing,Marketing,https://hoops.wal-mart.com/intake-hub/projects/17910
17911,Pet vaccination appointments in Garden Center,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17911
17912,Ethelene Purifier,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17912
17913,Item Availability Automation Flow in Store IVR,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17913
17914,D40 Chilled Performance Drinks Cooler,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17914
17915,"Modernizing Previous Pay Week Hours Adjustment: Sunsetting old app, Launching new experience",People,People,https://hoops.wal-mart.com/intake-hub/projects/17915
17916,Modular Health CV/AR,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/17916
17919,Workforce Modernization,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17919
17920,Dunkin Donut Strategy,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17920
17921,ACC - Bay Configuration,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17921
17922,D46 Cosmetics Clearance Fixture Test,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17922
17923,Wet Wall Modular Shelving,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17923
17924,Walmart+ In-Store Perks - MS & Photo,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17924
17926,Predict HQ Improved Forecast Traffic Volume,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17926
17927,VIZIO In-Store Service Replacements and Walmart+ Refunds,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/17927
17928,Second Shift BOS Enhancements: Intraday Restocking,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17928
17929,mGPS Mapping,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/17929
17930,Store Agentic Platform,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17930
17934,Faster Unscheduled Pickup for Customers (2 Hour Unscheduled Pickup in Supercenters),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17934
17935,Backdoor Driver Access- Digital Key,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17935
17936,GMD in Regular Pick Walks Test (GMD in Regular Walks),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17936
17939,Fresh Operating Model,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17939
17940,Gift Card OPD,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17940
17941,Pallet Pick up Optimization,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17941
17942,Home/Baby Vignette Ops Transition,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17942
17943,Area Operations - Fashion,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17943
17944,Fashion Digital Touring,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17944
17945,Men's Fashion Large Capacity Table Test,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17945
17946,Quality Check Removal,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17946
17947,Helium Balloon Inflation,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17947
17949,Smart Log Merchandise Decommission,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17949
17952,Digital Lock Padlock(Ulock) Full Store Pilot,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17952
17953,Beauty Operating Model - NHM Drawers,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17953
17954,Phone Number Capture on Staffed Lanes - CoSTL,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17954
17955,2026 NEXT/FET 5 Projects,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17955
17956,RFID GM Expansion - Toys,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17956
17957,RFID GM Expansion - Hardware,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17957
17958,Omni Ambassador Competition,Marketing,Marketing,https://hoops.wal-mart.com/intake-hub/projects/17958
17959,Project Retro,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17959
17960,DSD: Alive by 5 \| Mondelez,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17960
17961,DSD: Mondelez Cart Rollout,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17961
17962,Checkout Anywhere,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/17962
17963,DSD: Steel Extenders (Topstock Soda Aisle),Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17963
17964,DSD: Delivery Day Optimization,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17964
17966,Digital Lock Integration into GIF (InVue and GIF Integration),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17966
17967,Age Restriction in GIF for Alcohol and Ammunition Orders,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17967
17968,DSD Sunday Delivery,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17968
17969,FZ Seafood Pushers,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17969
17970,MyWalmart 2.0 Proof of Concept Test,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17970
17971,DSD: Coke CFO Ordering,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17971
17974,OnePay Credit Card - FY27 Op Plan,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17974
17975,Overnight Deliveries (Coke),Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17975
17976,Firefly - Pallet Tracking - Wrong Pallet Wrong Store,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17976
17977,Tire Binding,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17977
17978,Walmart Milk Plant Texas,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17978
17979,Comp Shop App- Internal,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17979
17980,ACC: Predictive Wait Time Model,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17980
17981,DSD - Delivery Notifications – Pepsi,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17981
17982,ACC: Digitizing Slots Test,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17982
17983,D11 Project Boards/Lumber,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17983
17984,Wing Drone Integration,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17984
17985,Clearance Signage Test,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17985
17986,Fashion Spark Shopper Staging,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17986
17988,Safety Agent,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/17988
17989,ACC - Lockerless Check In,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17989
17990,Feature Agent MyWalmart Experiment POC,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17990
17992,Body Worn Cameras for Dispensers,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17992
17993,Workstation Removal - Phase 1,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17993
17994,Uber Batching,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17994
17995,Family Swim,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17995
17996,2026 SCO Refresh,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17996
17997,Kacee Musgraves x Lee Merchandising Collection,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17997
17998,RFID GM Expansion - Lawn & Garden D16,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17998
17999,AP Aisle to SCO Concealment Pilot,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17999
18000,DSD - Priority Pass - Frito Lay,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18000
